Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,388,25104,22859,42350,51634,71372,3254,100496,5.155%,.64776,63.94,6.37
SearchBarSubmit,375,20820,19486,32454,37678,49376,2014,59318,3.200%,.62921,50.64,2.17
CreateAccountOwner,365,19248,18234,30662,34388,41153,2251,52063,36.438%,.61826,44.92,4.54
SearchSSN,357,15139,14045,22752,27858,35292,3282,43240,0.000%,.61529,43.92,3.11
HomePage,352,6807,5510,12818,17141,23070,1112,30154,0.000%,.61627,21.53,0.89
WizardStart,351,7926,7513,13614,15286,23380,1114,30062,0.000%,.61212,22.28,0.89
TOTAL,2188,16068,13991,30062,35887,51873,1112,100496,7.541%,3.65094,242.88,17.72
