Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,381,3749,3483,5958,6584,7770,517,10982,0.00%,0.63507,68.86,6.53
SearchBarSubmit,378,2828,3078,4247,4470,5210,485,6994,0.00%,0.63798,52.07,2.2
CreateAccountOwner,378,2405,2285,3735,4318,5008,461,5434,32.54%,0.63744,46.66,4.72
SearchSSN,378,1807,2071,2469,3084,3346,291,4630,32.54%,0.63666,46.76,3.25
HomePage,753,781,1004,1159,1253,2196,117,3032,0.00%,1.26719,45.39,1.82
ReportGenerate,375,2580,2371,3458,3895,4406,871,5732,0.00%,0.63251,118.4,4.42
WizardStart,374,889,1002,1238,1944,2110,68,2288,0.00%,0.63113,23.58,0.92
TOTAL,3017,1981,1945,3914,4488,6394,68,10982,4.08%,5.0289,397.94,23.67
