Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,108,1326,1433,1501,1535,1639,489,3087,0.000%,.18135,20.30,1.87
SearchBarSubmit,108,955,1269,1341,1374,1442,368,1456,0.000%,.18190,15.84,0.63
CreateAccountOwner,108,647,429,1301,1367,1410,343,1647,0.000%,.18191,14.25,1.35
SearchSSN,108,640,385,1283,1316,1458,275,1499,0.000%,.18195,13.64,0.93
HomePage,216,307,142,1036,1066,1129,117,1144,0.000%,.36284,13.14,0.52
ReportGenerate,108,1118,892,1790,1876,1956,795,2006,0.000%,.18150,37.88,1.29
WizardStart,108,237,117,986,1050,1082,102,1099,0.000%,.18173,6.86,0.26
TOTAL,864,692,436,1433,1494,1801,102,3087,0.000%,1.44059,120.86,6.79
