Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,401,10529,9922,17390,20037,27100,1087,35152,0.00%,0.66875,70.49,6.8
SearchBarSubmit,393,7790,7520,12945,15058,20230,1071,26932,0.00%,0.65958,52.88,2.27
CreateAccountOwner,389,7196,6887,11497,13872,20284,1013,29533,42.67%,0.65358,47.13,4.84
SearchSSN,380,5353,5176,8766,10719,14232,600,22786,42.67%,0.64129,46.69,3.28
HomePage,753,2383,2113,4340,5414,7675,112,10702,0.00%,1.27701,45.53,1.83
ReportGenerate,377,7588,7263,12223,13799,17031,1128,19732,0.00%,0.64082,126.83,4.17
WizardStart,373,2960,2479,5332,6343,9019,100,16403,0.00%,0.63794,23.72,0.93
TOTAL,3066,5830,5037,11764,14538,20230,100,35152,5.41%,5.11199,408.2,23.9
