Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,180,16157,14464,26410,28402,31615,3699,32865,0.000%,.31255,20.86,2.57
SearchBarSubmit,180,10332,9588,17590,21043,25157,1179,27472,0.000%,.32060,27.47,1.10
CreateAccountOwner,120,2291,2398,3517,3993,4285,457,4346,0.000%,.28775,22.54,2.13
SearchSSN,120,7687,5558,15661,19367,24031,342,25275,0.000%,.36420,27.24,1.86
Home,120,4970,4721,8563,10331,12777,150,12988,0.000%,.38403,13.92,0.55
WizardStart,120,7077,6568,11707,13588,15528,151,17878,0.000%,.36853,13.91,0.54
TOTAL,840,8823,7320,18951,22865,28508,150,32865,0.000%,1.41509,92.13,6.65
