Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,90,4958,4606,8384,8712,9154,1452,9170,0.000%,.18826,12.34,1.55
SearchBarSubmit,90,3102,2836,4625,6087,8881,435,9128,0.000%,.18861,16.16,0.65
CreateAccountOwner,60,1976,2042,3118,3827,3982,489,4886,0.000%,.16091,12.60,1.19
SearchSSN,60,5581,4052,12398,14069,16840,361,16884,0.000%,.21491,16.07,1.10
Home,60,1865,1357,2609,3712,13351,142,13617,0.000%,.23723,8.60,0.34
WizardStart,60,2067,1997,3411,3977,4822,144,4877,0.000%,.23629,8.92,0.34
TOTAL,420,3368,2603,6803,8881,13617,142,16884,0.000%,.84953,55.09,3.99
