Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,238,15368,11390,35898,46423,71668,361,81101,0.000%,.39798,25.59,3.19
SearchBarSubmit,228,21053,13605,47189,69136,110396,533,120318,0.000%,.38533,32.83,1.33
CreateAccountOwner,194,11559,10174,26003,30205,42278,392,51998,1.031%,.33240,26.03,2.46
SearchSSN,166,19603,14775,48677,65728,81259,360,99992,1.205%,.37471,27.96,1.92
Home,152,9711,4999,27036,36635,54452,144,60189,0.000%,.36987,13.41,0.53
WizardStart,144,8215,5677,20669,26524,37864,122,38737,0.000%,.35310,13.33,0.51
TOTAL,1122,14807,9636,34728,47339,79299,122,120318,0.357%,1.87224,122.24,9.02
