Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Login,263,23586,16743,49371,64121,84720,374,104572,7.985%,.43868,24.82,3.25
SearchBarSubmit,248,36017,29742,72304,90866,105818,1963,123820,8.065%,.43031,34.34,1.49
CreateAccountOwner,190,7273,3260,15927,34729,50448,122,55894,15.263%,.35129,24.65,2.63
SearchSSN,176,13576,9231,31152,45784,70974,591,86332,16.477%,.42655,28.30,2.07
Home,169,10914,6298,23330,34499,56380,62,61065,0.000%,.44452,14.25,0.65
WizardStart,155,15808,15355,32679,49509,62448,63,88807,0.000%,.40984,13.49,0.61
TOTAL,1201,19318,13229,46613,58485,93045,62,123820,8.243%,2.00252,117.05,9.27
